Team,Year,GP,G,A,PTS,Plus.Minus,PIM,G.EV,G.PP,G.SH,GW,A.EV,A.PP,A.SH,S,S.pct,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO.pct,WIN.pct
Anaheim Ducks,2019-20,71,182,287,469,-106,707,145,27,10,24,223,53,11,2106,8.6,21.8,28.7,62.3,944,1596,1991,1950,50.5,0.408
Arizona Coyotes,2019-20,70,190,310,500,-9,438,144,41,5,28,229,77,4,2220,8.6,25.5,37.7,79.3,958,1378,1956,2026,49.1,0.479
Boston Bruins,2019-20,70,227,384,611,172,662,165,57,5,44,270,109,5,2247,10.1,39.1,42.4,96.7,891,1649,2022,1949,50.9,0.671
Buffalo Sabres,2019-20,69,193,315,508,-72,465,151,37,5,28,241,71,3,2021,9.5,27.2,29,67.5,759,1317,1740,2050,45.9,0.435
Calgary Flames,2019-20,70,204,332,536,-93,599,157,41,6,30,246,81,5,2212,9.2,30.6,30.4,74.1,936,1279,2023,2098,49.1,0.486
Carolina Hurricanes,2019-20,68,217,380,597,68,568,161,46,10,33,279,89,12,2261,9.6,37.1,34.9,82.5,783,1188,2058,2015,50.5,0.515
Chicago Blackhawks,2019-20,70,208,350,558,-24,530,169,33,6,28,282,61,7,2227,9.3,32.3,28.5,76.6,1015,1538,1964,1969,49.9,0.45
Colorado Avalanche,2019-20,70,236,399,635,193,575,182,46,8,41,303,88,8,2257,10.5,42.8,37,94.1,1030,1296,2032,2064,49.6,0.621
Columbus Blue Jackets,2019-20,70,180,298,478,-17,442,146,31,3,33,237,58,3,2272,7.9,21.5,38.9,73.4,1060,1436,1883,2002,48.5,0.521
Dallas Stars,2019-20,69,178,295,473,13,550,131,42,5,35,206,82,7,2113,8.4,21.3,39.5,76.4,1031,1538,2070,1925,51.8,0.514
Detroit Red Wings,2019-20,71,142,250,392,-498,577,106,32,4,14,183,64,3,1924,7.4,6.8,17.7,33.6,905,1578,1960,2000,49.5,0.246
Edmonton Oilers,2019-20,71,223,381,604,-109,555,161,59,3,35,262,116,3,2100,10.6,37.2,31.2,81.3,1064,1589,1926,2005,49,0.542
Florida Panthers,2019-20,69,228,391,619,-10,484,179,45,4,32,300,87,4,2253,10.1,41,26,78.3,978,1247,2015,1991,50.3,0.529
Los Angeles Kings,2019-20,70,177,302,479,-127,467,139,33,5,28,235,62,5,2325,7.6,20.5,32.1,63.3,861,1460,2033,1968,50.8,0.4
Minnesota Wild,2019-20,69,218,365,583,2,540,169,46,3,33,273,87,5,2077,10.5,37.1,28.6,76.1,968,1121,1945,2071,48.4,0.522
Montreal Canadiens,2019-20,71,208,322,530,-11,520,169,33,6,27,263,57,2,2422,8.6,31.6,30.4,73.3,925,1882,2143,2106,50.4,0.415
Nashville Predators,2019-20,69,212,350,562,38,594,167,39,6,32,271,75,4,2287,9.3,34.1,29,74.2,1020,1157,2135,1950,52.3,0.514
New Jersey Devils,2019-20,69,185,309,494,-214,646,134,42,9,24,220,79,10,2117,8.7,24.2,25.1,60.8,1033,1381,1869,2121,46.8,0.449
New York Islanders,2019-20,68,189,320,509,6,559,154,29,6,32,255,56,9,2016,9.4,26.4,34.2,73.5,1153,1915,1803,1815,49.8,0.507
New York Rangers,2019-20,70,233,402,635,43,757,173,52,8,36,288,101,13,2175,10.7,42.4,28.1,84.4,1050,1527,1799,2063,46.6,0.521
Ottawa Senators,2019-20,71,190,308,498,-127,648,145,30,15,24,237,56,15,2174,8.7,24.8,23.8,60.6,1070,1979,2132,2110,50.3,0.387
Philadelphia Flyers,2019-20,69,227,382,609,117,510,172,47,8,36,286,93,3,2166,10.5,40,35.8,86.4,843,1501,2160,1795,54.6,0.572
Pittsburgh Penguins,2019-20,69,221,374,595,69,503,173,42,6,37,288,82,4,2204,10,37.9,35.4,84.7,892,1884,1942,2033,48.9,0.543
San Jose Sharks,2019-20,70,180,316,496,-247,701,140,33,7,27,244,65,7,2101,8.6,22.2,28.1,60.4,936,1587,1868,1949,48.9,0.4
St Louis Blues,2019-20,71,223,376,599,114,485,169,49,5,40,275,94,7,2179,10.2,37.2,38.8,89.4,844,1471,2073,1947,51.6,0.599
Tampa Bay Lightning,2019-20,70,243,414,657,204,693,188,49,6,41,314,94,6,2176,11.2,45.4,36.4,95,897,1677,2037,1995,50.5,0.6
Toronto Maple Leafs,2019-20,70,237,395,632,55,456,187,45,5,35,304,87,4,2302,10.3,42.9,27.3,81.5,903,1188,2061,1865,52.5,0.521
Vancouver Canucks,2019-20,69,224,393,617,-37,621,162,57,5,32,276,112,5,2153,10.4,38.8,28.1,80.5,1088,1360,2166,1842,54,0.5
Vegas Golden Knights,2019-20,71,224,354,578,98,542,173,42,9,36,266,78,10,2450,9.1,37.7,33.9,81.3,955,1906,2103,2102,50,0.542
Washington Capitals,2019-20,69,236,382,618,111,683,188,42,6,37,298,77,7,2206,10.7,43.3,29.8,83.3,951,1716,1991,2130,48.3,0.58
Winnipeg Jets,2019-20,71,213,380,593,31,505,165,42,6,34,290,83,7,2222,9.6,33.1,34.4,82.1,874,1550,1988,1982,50.1,0.514
Anaheim Ducks,2018-19,82,196,326,522,-181,718,155,36,5,32,248,71,7,2271,8.6,20.1,35.2,71.5,1196,1900,2394,2268,51.4,0.439
Arizona Coyotes,2018-19,82,209,328,537,-116,567,151,42,16,35,236,77,15,2522,8.3,24.6,43.9,84.4,1298,2028,2307,2511,47.9,0.47
Boston Bruins,2018-19,82,257,442,699,127,783,185,65,7,47,307,125,10,2680,9.6,42,46.6,103.9,1050,1876,2454,2385,50.7,0.585
Buffalo Sabres,2018-19,82,221,378,599,-259,562,172,46,3,28,282,91,5,2697,8.2,28.8,30.1,73,1003,1565,2334,2538,47.9,0.39
Calgary Flames,2018-19,82,289,505,794,297,677,218,53,18,50,385,104,16,2656,10.9,54.3,43.9,109.8,1033,1233,2490,2265,52.4,0.622
Carolina Hurricanes,2018-19,82,243,399,642,94,604,191,44,8,44,310,80,9,2822,8.6,37.5,44.9,95.6,1044,2073,2436,2532,49,0.561
Chicago Blackhawks,2018-19,82,267,463,730,-62,580,213,48,6,33,370,88,5,2669,10,45.7,24,83.7,1115,1350,2356,2404,49.5,0.439
Colorado Avalanche,2018-19,82,258,429,687,39,742,186,63,9,36,303,120,6,2676,9.6,42.8,36.8,95,1324,1699,2346,2529,48.1,0.518
Columbus Blue Jackets,2018-19,82,256,415,671,90,498,214,34,8,45,344,64,7,2592,9.9,42.1,41.9,97.1,1076,1741,2434,2410,50.2,0.537
Dallas Stars,2018-19,82,209,357,566,0,615,160,45,4,42,268,85,4,2519,8.3,24.8,48.9,93.2,1291,1820,2529,2346,51.9,0.524
Detroit Red Wings,2018-19,82,224,379,603,-174,625,178,39,7,29,298,72,9,2394,9.4,30.1,28.3,72.8,1103,1749,2568,2490,50.8,0.378
Edmonton Oilers,2018-19,82,229,386,615,-150,736,172,47,10,32,287,90,9,2392,9.6,32,29.8,73.7,1174,2192,2327,2483,48.4,0.415
Florida Panthers,2018-19,82,264,457,721,-199,676,189,72,3,33,310,142,5,2705,9.8,44.6,28.5,83.5,1138,1901,2527,2545,49.8,0.463
Los Angeles Kings,2018-19,82,199,326,525,-230,647,160,35,4,28,254,69,3,2358,8.4,20.6,32.7,66.3,1170,1907,2410,2366,50.5,0.378
Minnesota Wild,2018-19,82,210,361,571,-147,626,156,49,5,36,259,94,8,2567,8.2,25,40.8,79.2,1221,1602,2404,2465,49.4,0.482
Montreal Canadiens,2018-19,82,246,424,670,118,662,210,31,5,41,359,60,5,2796,8.8,38.4,40,92.8,1170,2203,2437,2495,49.4,0.543
Nashville Predators,2018-19,82,236,385,621,169,656,195,33,8,43,314,64,7,2677,8.8,35.1,46.7,97.2,1079,1492,2537,2385,51.5,0.555
New Jersey Devils,2018-19,82,219,355,574,-286,723,164,45,10,28,261,85,9,2488,8.8,28.6,29.6,70.2,1158,1924,2418,2482,49.3,0.396
New York Islanders,2018-19,82,223,372,595,196,630,184,33,6,43,300,66,6,2360,9.4,29.7,50.9,99.6,1295,2031,2124,2353,47.4,0.561
New York Rangers,2018-19,82,221,372,593,-171,824,170,44,7,26,277,86,9,2393,9.2,28.9,29.7,73.9,1213,2128,2187,2475,46.9,0.421
Ottawa Senators,2018-19,82,242,421,663,-305,687,192,46,4,29,328,89,4,2429,10,36.9,21.2,72.1,1381,1782,2387,2428,49.6,0.354
Philadelphia Flyers,2018-19,82,241,419,660,-144,715,197,40,4,34,340,75,4,2583,9.3,36.5,27.5,76.1,1277,1755,2637,2180,54.7,0.445
Pittsburgh Penguins,2018-19,82,271,459,730,95,661,203,56,12,42,333,108,18,2731,9.9,47.8,37.7,102.7,1229,2363,2482,2425,50.6,0.567
San Jose Sharks,2018-19,82,289,504,793,67,723,223,57,9,46,386,110,8,2708,10.7,54.6,34.6,98.1,1077,1574,2376,2346,50.3,0.567
St Louis Blues,2018-19,82,244,416,660,71,595,189,50,5,42,319,89,8,2604,9.4,37.7,44.9,95.7,1138,1615,2450,2317,51.4,0.549
Tampa Bay Lightning,2018-19,82,319,547,866,298,763,233,74,12,56,393,142,12,2620,12.2,65.2,43.1,125.3,1125,2116,2520,2401,51.2,0.701
Toronto Maple Leafs,2018-19,82,286,480,766,143,481,235,46,5,46,384,90,6,2736,10.5,53.1,35,104.3,1113,1421,2629,2330,53,0.573
Vancouver Canucks,2018-19,82,219,356,575,-135,715,169,43,7,29,268,83,5,2433,9,27.7,35,76.4,1233,1799,2404,2453,49.5,0.415
Vegas Golden Knights,2018-19,82,246,395,641,90,573,196,39,11,40,309,75,11,2814,8.7,38.4,42.6,94.2,1118,2268,2480,2441,50.4,0.524
Washington Capitals,2018-19,82,274,478,752,143,710,220,49,5,44,379,95,4,2492,11,48.6,36.4,99,1234,1885,2160,2563,45.7,0.579
Winnipeg Jets,2018-19,82,270,458,728,60,745,198,62,10,45,327,117,14,2557,10.6,47.2,36.8,100.5,1187,1841,2463,2396,50.7,0.549
Anaheim Ducks,2017-18,82,231,393,624,129,798,183,38,10,40,309,74,10,2475,9.3,35,44.3,98.6,1233,1949,2499,2375,51.3,0.561
Arizona Coyotes,2017-18,82,206,347,553,-210,628,163,41,2,27,268,77,2,2450,8.4,25.1,33.8,73.1,1186,1999,2429,2659,47.7,0.372
Boston Bruins,2017-18,82,267,458,725,163,764,197,61,9,47,337,111,10,2703,9.9,48,46.7,109,1072,1914,2577,2501,50.7,0.628
Buffalo Sabres,2017-18,82,198,329,527,-394,653,140,49,9,24,226,93,10,2557,7.7,22,26.9,61.2,1082,1767,2539,2388,51.5,0.341
Calgary Flames,2017-18,82,216,375,591,-118,892,166,43,7,35,285,86,4,2759,7.8,29.2,36.5,78.9,1100,1639,2496,2560,49.4,0.457
Carolina Hurricanes,2017-18,82,225,389,614,-143,498,178,44,3,33,304,84,1,2780,8.1,32,34.9,76.1,1006,1597,2594,2204,54.1,0.47
